,Churn,Tenure,CityTier,WarehouseToHome,HourSpendOnApp,NumberOfDeviceRegistered,SatisfactionScore,NumberOfAddress,Complain,OrderAmountHikeFromlastYear,CouponUsed,OrderCount,DaySinceLastOrder,CashbackAmount,PreferredLoginDevice_Computer,PreferredLoginDevice_Mobile Phone,PreferredPaymentMode_Cash on Delivery,PreferredPaymentMode_Credit Card,PreferredPaymentMode_Debit Card,PreferredPaymentMode_E wallet,PreferredPaymentMode_UPI,Gender_Female,Gender_Male,PreferedOrderCat_Fashion,PreferedOrderCat_Grocery,PreferedOrderCat_Laptop & Accessory,PreferedOrderCat_Mobile Phone,PreferedOrderCat_Others,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single
1619,0,0.0,1,9.0,3.0,4,3,2,0,17.0,1.0,1.0,0.0,132.3,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
1622,0,11.0,3,13.0,2.0,1,5,2,1,24.0,4.0,7.0,7.0,156.05,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
1623,0,0.0,1,6.0,2.0,3,4,2,0,20.0,1.0,1.0,4.0,163.97,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
1626,0,15.0,3,6.0,1.0,3,3,2,0,25.0,6.0,11.0,6.0,149.07,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
1627,0,2.0,3,8.0,2.0,3,1,2,0,18.0,0.0,1.0,9.0,145.54,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
1628,0,28.0,1,26.0,2.0,3,1,4,1,19.0,0.0,1.0,8.0,154.15,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
1629,0,0.0,1,17.0,2.0,3,5,2,1,13.0,1.0,3.0,3.0,147.41,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
1632,0,11.0,1,29.0,2.0,3,1,10,0,14.0,0.0,1.0,2.0,157.45,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
1634,0,1.0,1,14.0,3.0,3,1,2,0,21.0,1.0,1.0,2.0,133.1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
1636,0,9.0,1,9.0,1.0,3,4,5,0,12.0,2.0,7.0,7.0,144.85,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
1638,1,0.0,3,10.0,2.0,4,1,2,1,12.0,4.0,7.0,4.0,158.28,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
1642,0,8.0,3,22.0,3.0,3,4,1,0,15.0,3.0,6.0,9.0,180.2,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0
1643,0,9.0,1,24.0,2.0,1,1,5,0,18.0,1.0,1.0,0.0,136.88,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
1644,0,24.0,1,8.0,2.0,5,4,6,0,18.0,0.0,1.0,2.0,154.82,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
1647,0,1.0,1,22.0,3.0,1,5,1,0,19.0,0.0,1.0,7.0,156.61,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
1648,0,4.0,3,13.0,3.0,1,1,5,0,11.0,3.0,7.0,7.0,169.29,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
1649,0,12.0,1,6.0,2.0,1,1,1,0,17.0,1.0,3.0,7.0,196.13,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0
1650,0,9.0,1,30.0,2.0,3,4,8,0,15.0,1.0,1.0,8.0,156.74,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
1651,0,5.0,3,13.0,3.0,4,3,2,0,14.0,3.0,4.0,8.0,154.84,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
1653,0,30.0,1,6.0,2.0,5,3,3,1,13.0,1.0,1.0,2.0,156.6,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
1654,0,4.0,1,11.0,2.0,3,1,1,1,12.0,1.0,1.0,3.0,148.21,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0
1655,0,4.0,2,8.0,3.0,4,5,4,0,12.0,0.0,1.0,0.0,164.1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0
1656,0,18.0,1,13.0,3.0,3,5,2,0,18.0,2.0,9.0,11.0,152.1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0
1662,1,15.0,1,14.0,2.0,4,4,3,0,15.0,7.0,7.0,7.0,149.41,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
1664,0,5.0,3,14.0,3.0,4,4,2,1,11.0,11.0,11.0,9.0,152.28,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
1665,0,0.0,3,8.0,3.0,3,3,2,1,11.0,0.0,1.0,4.0,144.78,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
1666,0,4.0,3,13.0,3.0,3,1,5,0,12.0,0.0,1.0,7.0,175.47,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
1667,0,5.0,1,8.0,3.0,1,1,8,0,16.0,0.0,1.0,7.0,150.55,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
1668,1,0.0,1,8.0,2.0,5,1,6,1,13.0,1.0,2.0,2.0,134.64,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
1669,0,3.0,1,34.0,3.0,3,1,2,0,13.0,1.0,1.0,9.0,157.75,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
1670,0,4.0,1,13.0,2.0,4,3,2,0,24.0,7.0,8.0,9.0,189.43,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0
1672,1,2.0,3,9.0,2.0,3,3,5,1,18.0,1.0,1.0,0.0,152.38,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
1673,0,6.0,3,16.0,2.0,4,1,4,0,14.0,1.0,1.0,1.0,146.82,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
1675,0,16.0,1,16.0,2.0,4,3,2,0,11.0,1.0,1.0,0.0,152.57,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
1676,0,0.0,3,6.0,3.0,3,4,1,1,13.0,0.0,1.0,4.0,163.49,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
1677,0,27.0,1,26.0,2.0,3,3,4,0,12.0,0.0,1.0,3.0,148.69,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
1678,0,16.0,1,13.0,2.0,3,5,9,0,16.0,1.0,1.0,0.0,199.85,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0
1679,0,18.0,1,14.0,3.0,3,1,10,0,14.0,8.0,9.0,8.0,136.97,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0
1680,0,13.0,3,6.0,2.0,5,1,3,1,22.0,1.0,1.0,2.0,174.57,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
1682,0,2.0,1,15.0,1.0,4,1,1,0,17.0,1.0,2.0,2.0,139.83,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
1683,0,3.0,3,11.0,1.0,4,3,2,0,13.0,1.0,1.0,2.0,161.18,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
1684,0,0.0,3,14.0,2.0,3,4,2,0,18.0,0.0,1.0,7.0,162.14,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
1685,0,10.0,1,11.0,3.0,3,1,8,0,16.0,1.0,1.0,4.0,163.47,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
1687,0,4.0,1,13.0,2.0,3,1,2,1,14.0,4.0,4.0,10.0,171.43,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
1688,0,2.0,3,16.0,2.0,4,4,2,1,14.0,1.0,1.0,7.0,182.68,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
1689,0,8.0,1,11.0,3.0,3,4,1,0,13.0,1.0,1.0,13.0,180.95,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
1691,0,14.0,1,12.0,3.0,4,4,7,1,15.0,1.0,1.0,2.0,160.32,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
1694,0,2.0,3,8.0,3.0,3,3,2,0,14.0,1.0,1.0,2.0,146.49,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
1698,0,10.0,1,12.0,2.0,1,5,5,1,13.0,6.0,6.0,7.0,159.74,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
1699,0,3.0,3,31.0,2.0,3,3,8,1,12.0,2.0,2.0,2.0,147.36,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
1700,0,0.0,3,6.0,2.0,3,3,2,0,17.0,0.0,7.0,7.0,152.96,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
1701,0,15.0,1,8.0,3.0,4,1,4,0,23.0,1.0,1.0,0.0,167.81,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1
1703,0,9.0,3,6.0,2.0,3,1,5,0,15.0,1.0,1.0,0.0,166.53,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
1704,0,9.0,3,9.0,2.0,4,1,5,0,11.0,0.0,1.0,12.0,196.99,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0
1705,0,30.0,1,6.0,2.0,3,3,3,0,11.0,0.0,1.0,2.0,167.55,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
1709,0,10.0,1,16.0,3.0,3,5,7,0,20.0,1.0,1.0,3.0,134.52,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0
1710,0,19.0,1,13.0,1.0,3,3,3,0,14.0,1.0,1.0,0.0,152.58,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
1711,1,4.0,3,10.0,2.0,3,4,2,0,18.0,4.0,7.0,7.0,193.55,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
1712,0,23.0,1,16.0,3.0,4,1,7,0,15.0,1.0,1.0,3.0,204.96,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
1713,1,3.0,3,28.0,3.0,4,3,3,1,12.0,1.0,1.0,0.0,163.8,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
1717,0,8.0,1,15.0,3.0,4,4,10,0,19.0,0.0,1.0,0.0,165.4,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
1718,0,0.0,1,6.0,2.0,3,4,2,0,11.0,0.0,1.0,4.0,138.16,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
1719,0,1.0,3,15.0,3.0,3,1,2,0,16.0,1.0,1.0,7.0,152.53,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
1721,0,24.0,3,20.0,2.0,3,1,5,0,11.0,1.0,1.0,7.0,149.36,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
1723,1,0.0,3,25.0,3.0,1,1,9,1,13.0,0.0,1.0,4.0,153.04,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
1725,0,0.0,3,16.0,3.0,3,3,2,1,12.0,0.0,1.0,3.0,142.6,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
1729,0,9.0,3,8.0,3.0,4,3,2,0,13.0,8.0,9.0,0.0,175.96,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0
1732,0,13.0,3,8.0,2.0,3,4,8,0,12.0,0.0,1.0,3.0,157.15,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
1734,0,10.0,1,16.0,2.0,3,4,3,1,12.0,0.0,1.0,1.0,141.97,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
1736,0,13.0,1,8.0,3.0,4,3,7,0,22.0,1.0,1.0,0.0,134.48,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
1738,0,7.0,3,10.0,3.0,3,3,10,0,15.0,0.0,1.0,2.0,165.38,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
1739,0,4.0,1,13.0,2.0,3,5,2,0,12.0,3.0,3.0,12.0,143.06,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
1741,0,16.0,1,14.0,3.0,3,3,5,1,14.0,1.0,1.0,2.0,145.22,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0
1742,0,0.0,3,10.0,3.0,4,1,2,1,11.0,0.0,1.0,3.0,144.87,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
1743,0,10.0,1,31.0,3.0,3,3,4,1,15.0,4.0,10.0,7.0,144.49,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
1745,0,12.0,1,6.0,2.0,3,3,2,1,14.0,0.0,1.0,6.0,291.97,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0
1747,0,3.0,3,18.0,2.0,3,3,1,0,11.0,3.0,4.0,4.0,165.77,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
1748,0,14.0,3,6.0,2.0,1,5,2,0,16.0,1.0,1.0,7.0,183.92,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0
1749,0,1.0,1,23.0,3.0,3,5,2,0,12.0,0.0,1.0,8.0,145.58,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
1750,1,0.0,1,9.0,3.0,3,5,6,0,13.0,1.0,1.0,2.0,140.31,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
1751,0,25.0,1,9.0,2.0,4,3,3,1,14.0,1.0,1.0,4.0,179.69,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0
1754,0,15.0,1,35.0,3.0,3,3,3,0,11.0,1.0,1.0,2.0,145.56,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
1755,0,3.0,1,8.0,2.0,5,1,3,0,20.0,1.0,1.0,2.0,160.91,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
1757,0,19.0,1,24.0,2.0,3,3,3,0,14.0,1.0,1.0,8.0,148.1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
1758,0,15.0,1,34.0,2.0,4,1,1,0,11.0,0.0,1.0,4.0,145.23,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
1759,1,0.0,3,6.0,3.0,3,4,2,1,16.0,0.0,1.0,4.0,132.02,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1
1768,0,3.0,3,28.0,3.0,3,5,1,0,11.0,3.0,7.0,8.0,184.12,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0
1772,0,30.0,3,34.0,3.0,4,5,5,0,19.0,3.0,13.0,11.0,202.66,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0
1773,0,20.0,1,8.0,3.0,3,1,6,0,13.0,0.0,1.0,4.0,150.7,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
1775,0,8.0,1,28.0,2.0,5,3,1,0,15.0,1.0,4.0,3.0,142.3,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
1776,0,27.0,1,5.0,2.0,3,3,8,0,11.0,0.0,1.0,0.0,137.8,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
1778,0,5.0,3,16.0,3.0,4,1,3,1,19.0,0.0,1.0,2.0,190.71,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0
1779,0,4.0,1,15.0,2.0,3,4,2,0,25.0,0.0,1.0,8.0,206.48000000000002,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0
1781,1,0.0,1,16.0,2.0,5,1,8,0,13.0,0.0,1.0,3.0,134.08,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
1783,0,8.0,1,22.0,3.0,3,3,5,1,12.0,0.0,1.0,0.0,176.32,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0
1784,1,0.0,1,26.0,3.0,3,3,4,0,12.0,1.0,1.0,0.0,198.24,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0
1785,1,0.0,2,29.0,2.0,3,5,10,1,15.0,1.0,1.0,2.0,199.5,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0
1787,0,9.0,3,16.0,2.0,3,1,2,0,14.0,8.0,9.0,7.0,199.8,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1
1788,1,0.0,1,10.0,3.0,4,3,6,0,16.0,0.0,1.0,2.0,138.94,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1
1789,0,21.0,3,8.0,2.0,3,1,3,0,14.0,6.0,6.0,7.0,140.51,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
1791,0,14.0,3,16.0,2.0,3,1,8,0,14.0,0.0,1.0,10.0,162.3,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
1792,0,8.0,3,6.0,2.0,3,3,10,0,11.0,0.0,6.0,9.0,147.17,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
1794,0,12.0,1,14.0,2.0,3,3,2,0,11.0,1.0,1.0,7.0,137.55,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0
1795,0,4.0,3,8.0,3.0,3,1,5,1,13.0,1.0,1.0,5.0,165.82,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
1796,0,15.0,1,30.0,2.0,3,5,2,1,21.0,5.0,5.0,8.0,174.06,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0
1797,0,18.0,3,8.0,3.0,3,4,1,0,19.0,3.0,3.0,7.0,148.05,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0
1799,0,2.0,1,25.0,2.0,3,1,5,0,12.0,1.0,1.0,2.0,142.62,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
1804,0,14.0,1,8.0,3.0,4,3,3,1,17.0,0.0,1.0,7.0,168.11,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1
1805,0,0.0,3,35.0,2.0,3,3,6,0,12.0,0.0,1.0,0.0,143.06,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
1806,0,8.0,3,6.0,3.0,3,3,2,0,16.0,1.0,1.0,3.0,148.59,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
1807,0,7.0,3,27.0,3.0,1,1,2,0,12.0,0.0,5.0,7.0,153.37,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
1809,0,10.0,1,6.0,2.0,3,1,5,0,17.0,1.0,1.0,2.0,174.91,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
1810,0,19.0,1,24.0,2.0,3,3,6,0,11.0,0.0,1.0,2.0,205.27,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
1812,0,10.0,3,15.0,3.0,3,4,2,0,13.0,1.0,7.0,7.0,188.34,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0
1813,0,25.0,1,12.0,3.0,3,5,4,1,12.0,2.0,6.0,9.0,155.77,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
1814,1,0.0,3,17.0,2.0,1,3,9,0,12.0,1.0,1.0,2.0,147.07,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0
1816,0,11.0,1,16.0,3.0,3,3,4,0,19.0,0.0,1.0,0.0,198.24,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
1817,0,10.0,1,6.0,3.0,3,4,7,0,12.0,4.0,4.0,3.0,164.47,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
1820,0,0.0,3,34.0,3.0,3,4,2,0,20.0,0.0,1.0,4.0,162.72,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
1826,0,7.0,1,6.0,2.0,4,1,2,1,13.0,1.0,1.0,3.0,136.22,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
1827,1,0.0,3,19.0,2.0,3,5,3,0,17.0,0.0,1.0,2.0,142.33,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
1828,0,8.0,1,31.0,2.0,4,1,5,0,14.0,1.0,1.0,2.0,136.81,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1
1829,0,4.0,3,12.0,3.0,1,1,5,0,22.0,5.0,5.0,7.0,154.6,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
1831,0,10.0,3,8.0,3.0,3,3,5,1,11.0,0.0,1.0,0.0,196.02,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
1833,0,15.0,1,8.0,2.0,3,1,2,0,13.0,0.0,2.0,2.0,140.89,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
1836,0,16.0,1,15.0,3.0,3,3,4,1,13.0,1.0,4.0,7.0,156.79,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
1838,0,17.0,2,6.0,2.0,4,3,5,0,11.0,1.0,1.0,2.0,159.85,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
1841,0,0.0,3,28.0,2.0,3,3,2,0,11.0,0.0,1.0,2.0,134.47,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1
1844,0,6.0,3,14.0,2.0,3,3,1,0,12.0,0.0,1.0,2.0,171.04,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
1845,0,5.0,1,15.0,3.0,3,1,2,1,12.0,1.0,1.0,5.0,163.22,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
1847,0,26.0,3,6.0,2.0,3,5,8,0,20.0,4.0,8.0,10.0,183.81,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
1849,1,8.0,3,32.0,3.0,3,5,3,0,14.0,0.0,1.0,0.0,142.86,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
1850,0,0.0,1,12.0,3.0,3,1,2,1,13.0,0.0,1.0,2.0,56.0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0
1851,0,10.0,1,9.0,2.0,3,3,2,0,15.0,7.0,7.0,8.0,194.34,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0
1852,0,2.0,3,9.0,3.0,3,3,2,0,14.0,0.0,1.0,2.0,155.61,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
1853,0,8.0,1,12.0,2.0,5,1,2,0,13.0,0.0,11.0,8.0,166.46,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
1854,0,6.0,1,12.0,1.0,3,1,4,0,23.0,3.0,4.0,7.0,177.25,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
1855,0,27.0,2,25.0,2.0,3,4,3,0,15.0,2.0,7.0,1.0,207.25,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0
1856,0,9.0,1,15.0,2.0,4,4,3,1,11.0,0.0,1.0,2.0,188.47,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
1858,1,0.0,1,16.0,2.0,3,3,2,1,11.0,1.0,1.0,1.0,110.09,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
1859,1,0.0,1,9.0,3.0,3,5,2,1,11.0,5.0,9.0,7.0,133.48,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
1862,0,0.0,3,14.0,2.0,1,4,1,0,22.0,1.0,1.0,2.0,148.51,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
1863,0,11.0,3,13.0,2.0,4,1,1,0,20.0,1.0,1.0,5.0,140.28,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1
1865,0,21.0,3,8.0,2.0,1,4,4,0,12.0,0.0,2.0,2.0,181.2,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
1866,0,0.0,3,9.0,3.0,1,1,2,1,20.0,1.0,1.0,4.0,146.47,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
1867,0,10.0,1,16.0,3.0,1,1,4,0,17.0,1.0,1.0,0.0,146.8,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
1868,0,23.0,1,34.0,3.0,1,3,2,1,11.0,0.0,3.0,8.0,132.21,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
1869,0,7.0,1,15.0,2.0,4,4,2,0,14.0,4.0,7.0,7.0,186.21,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
1870,1,0.0,3,9.0,3.0,3,3,10,0,14.0,1.0,2.0,0.0,145.77,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
1871,0,12.0,1,8.0,3.0,4,3,2,0,11.0,1.0,11.0,10.0,145.53,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
1872,0,5.0,3,16.0,2.0,3,1,2,0,12.0,1.0,1.0,8.0,153.96,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
1873,1,13.0,3,14.0,2.0,3,3,4,1,14.0,0.0,1.0,3.0,167.96,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
1874,0,11.0,1,6.0,2.0,1,1,1,0,13.0,0.0,1.0,8.0,176.25,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
1875,0,0.0,1,6.0,3.0,3,5,2,0,11.0,0.0,1.0,7.0,174.12,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0
1877,0,20.0,3,20.0,2.0,3,5,3,0,12.0,1.0,1.0,7.0,149.6,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
1878,0,13.0,3,11.0,2.0,4,5,6,1,21.0,0.0,1.0,12.0,204.75,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0
1881,0,30.0,3,22.0,2.0,3,5,9,0,14.0,2.0,2.0,2.0,154.05,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
1882,0,0.0,1,16.0,2.0,3,5,2,0,21.0,0.0,1.0,7.0,187.93,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0
1884,0,23.0,3,14.0,2.0,3,4,8,0,15.0,0.0,2.0,2.0,138.75,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0
1887,0,11.0,1,6.0,2.0,3,3,5,1,14.0,0.0,1.0,0.0,178.61,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1
1888,0,17.0,1,30.0,2.0,5,3,3,0,14.0,0.0,1.0,4.0,137.08,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
1890,0,3.0,3,33.0,3.0,3,1,8,0,23.0,2.0,7.0,7.0,153.04,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
1893,0,16.0,3,21.0,2.0,4,1,4,0,18.0,1.0,2.0,2.0,168.04,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
1894,0,7.0,1,14.0,3.0,3,3,4,0,11.0,0.0,4.0,3.0,161.42,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
1896,0,12.0,2,9.0,2.0,1,4,10,0,15.0,0.0,3.0,6.0,163.89,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0
1899,0,0.0,1,13.0,2.0,4,5,9,0,19.0,1.0,1.0,7.0,168.11,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
1902,0,8.0,1,8.0,3.0,3,5,3,0,11.0,1.0,1.0,0.0,150.93,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
1903,0,5.0,1,30.0,3.0,3,1,2,0,15.0,1.0,4.0,7.0,153.09,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
